date,IPAM_round,picture,Frag_number,IPAM_file,AOI,tank,PAR,F_value,Fm_value,YII_value
08-Jul-19,round_1,8,161,r1_8_ben.csv,4,T1,0,0.1922,0.5613,0.658
08-Jul-19,round_1,8,161,r1_8_ben.csv,5,T1,0,0.1799,0.5284,0.66
08-Jul-19,round_1,8,161,r1_8_ben.csv,6,T1,0,0.1637,0.4804,0.659
08-Jul-19,round_1,8,185,r1_8_ben.csv,7,T1,0,0.2294,0.7029,0.674
08-Jul-19,round_1,8,185,r1_8_ben.csv,8,T1,0,0.1897,0.5647,0.664
08-Jul-19,round_1,8,185,r1_8_ben.csv,9,T1,0,0.1706,0.4961,0.656
08-Jul-19,round_1,9,15,r1_9_ben.csv,1,T1,0,0.1725,0.4328,0.601
08-Jul-19,round_1,9,15,r1_9_ben.csv,2,T1,0,0.177,0.4461,0.603
08-Jul-19,round_1,9,15,r1_9_ben.csv,3,T1,0,0.175,0.4441,0.606
08-Jul-19,round_1,9,187,r1_9_ben.csv,4,T1,0,0.1858,0.4735,0.608
08-Jul-19,round_1,9,187,r1_9_ben.csv,5,T1,0,0.1873,0.4711,0.602
08-Jul-19,round_1,9,187,r1_9_ben.csv,6,T1,0,0.1623,0.4157,0.61
08-Jul-19,round_1,9,144,r1_9_ben.csv,7,T1,0,0.2294,0.5706,0.598
08-Jul-19,round_1,9,144,r1_9_ben.csv,8,T1,0,0.2054,0.4995,0.589
08-Jul-19,round_1,9,144,r1_9_ben.csv,9,T1,0,0.1725,0.4147,0.584
08-Jul-19,round_1,10,63,r1_10_ben.csv,1,T1,0,0.1804,0.4436,0.593
08-Jul-19,round_1,10,63,r1_10_ben.csv,2,T1,0,0.1789,0.4377,0.591
08-Jul-19,round_1,10,63,r1_10_ben.csv,3,T1,0,0.1505,0.3716,0.595
08-Jul-19,round_1,10,85,r1_10_ben.csv,4,T1,0,0.1564,0.4059,0.615
08-Jul-19,round_1,10,85,r1_10_ben.csv,5,T1,0,0.1441,0.3716,0.612
08-Jul-19,round_1,10,85,r1_10_ben.csv,6,T1,0,0.1319,0.3461,0.619
08-Jul-19,round_1,10,4,r1_10_ben.csv,7,T1,0,0.2147,0.5681,0.622
08-Jul-19,round_1,10,4,r1_10_ben.csv,8,T1,0,0.1828,0.4892,0.626
08-Jul-19,round_1,10,4,r1_10_ben.csv,9,T1,0,0.1564,0.4221,0.63
08-Jul-19,round_1,11,46,r1_11_ben.csv,1,T1,0,0.2093,0.5127,0.592
08-Jul-19,round_1,11,46,r1_11_ben.csv,2,T1,0,0.1691,0.4196,0.597
08-Jul-19,round_1,11,46,r1_11_ben.csv,3,T1,0,0.1779,0.4431,0.598
08-Jul-19,round_1,11,186,r1_11_ben.csv,4,T1,0,0.1868,0.474,0.606
08-Jul-19,round_1,11,186,r1_11_ben.csv,5,T1,0,0.1745,0.4338,0.598
08-Jul-19,round_1,11,186,r1_11_ben.csv,6,T1,0,0.1672,0.4343,0.615
08-Jul-19,round_1,11,61,r1_11_ben.csv,7,T1,0,0.1784,0.4691,0.62
08-Jul-19,round_1,11,61,r1_11_ben.csv,8,T1,0,0.1775,0.4618,0.616
08-Jul-19,round_1,11,61,r1_11_ben.csv,9,T1,0,0.1475,0.3814,0.613
08-Jul-19,round_1,11,42,r1_11_ben.csv,10,T1,0,0.1814,0.4863,0.627
