Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
7/1/2019 15:25:11.450,31.991606,31.948071,25.071143,24.54077,28.046127,31.986639,31.99154,28.021294,27.990462,28.010115,31.967183,31.982066,25.215681,25.351597,25.249627,28.022851
7/1/2019 15:30:09.049,31.959463,31.978181,25.075322,24.542901,28.043603,31.985623,32.04037,27.995674,28.018737,27.985643,32.008636,32.025601,25.217845,25.374545,25.254954,28.004854
7/1/2019 15:35:07.722,31.998261,32.01857,25.070438,24.539983,28.017131,32.01716,32.011833,27.999805,28.075713,28.02508,32.015898,32.002113,25.216582,25.401804,25.26869,27.99038
7/1/2019 15:40:12.639,32.016586,32.013619,25.071208,24.542885,27.983414,31.970166,31.94176,28.034981,28.075877,28.071992,31.967363,31.956987,25.205535,25.3157,25.284114,28.039111
7/1/2019 15:45:11.409,31.964937,31.948743,25.07901,24.538393,28.028818,31.989901,31.956348,28.020704,28.054814,28.065403,31.992884,31.983951,25.208305,25.211927,25.301981,28.076057
7/1/2019 15:50:08.346,31.968511,31.962184,25.069405,24.537262,28.047553,32.01534,31.997343,27.995052,28.02413,28.032063,32.026437,32.025831,25.198421,25.203174,25.319569,28.07709
7/1/2019 15:55:10.877,32.014849,32.0078,25.079256,24.5489,28.018688,31.97646,32.030715,28.001215,27.991675,28.000756,31.992934,31.993065,25.2185,25.233875,25.333239,28.058879
7/1/2019 16:00:11.081,32.016062,32.021143,25.072126,24.549375,27.990396,32.01139,32.001162,28.030621,28.005804,27.98861,31.960872,31.962265,25.228712,25.274788,25.344107,28.037587
7/1/2019 16:05:10.337,31.952791,31.96061,25.074732,24.541852,28.007214,31.99236,31.929745,28.016803,28.062289,28.054322,32.000441,31.985295,25.224139,25.289409,25.362203,28.008722
7/1/2019 16:10:06.881,31.957807,31.951464,25.080568,24.549769,28.046504,31.983492,31.963347,27.990954,28.075418,28.06378,32.023995,32.027601,25.228859,25.3177,25.377594,27.989659
7/1/2019 16:15:11.219,31.990032,31.993835,25.090124,24.545687,28.040996,32.005375,32.009669,28.015869,28.05547,28.036112,31.984984,32.003408,25.217533,25.338583,25.389822,28.033473
7/1/2019 16:20:09.132,32.006899,32.026798,25.089599,24.554063,27.996904,31.983295,32.039337,28.019163,28.018885,28.004362,31.967871,31.950251,25.218172,25.363088,25.381839,28.073615
7/1/2019 16:25:08.083,31.956233,31.978935,25.09232,24.547097,27.995904,32.012079,31.975739,28.005853,27.991986,27.988692,32.016094,31.983394,25.212649,25.38538,25.255528,28.073107
7/1/2019 16:30:07.059,31.960233,31.941908,25.088091,24.553293,28.044209,31.982132,31.934728,27.988298,27.996363,28.047651,32.010964,32.01793,25.214845,25.402148,25.199765,28.041996
7/1/2019 16:35:12.501,31.98582,31.977149,25.091419,24.549572,28.020671,32.005047,31.974526,28.033129,28.064977,28.067255,31.961528,31.989016,25.206338,25.285262,25.198683,28.01718
7/1/2019 16:40:09.119,32.010521,32.026437,25.087976,24.558948,27.991823,31.996917,32.02011,28.024556,28.087826,28.041996,31.968396,31.967281,25.20583,25.242546,25.285622,28.002887
7/1/2019 16:45:11.622,31.954726,32.00067,25.093107,24.553277,28.009705,31.983984,32.030896,27.988856,28.057175,28.015754,32.01557,31.99831,25.209895,25.251873,25.331666,27.997592
7/1/2019 16:50:09.719,31.977182,31.944432,25.085501,24.552719,28.0497,32.016209,31.958151,28.007296,28.036833,27.983496,32.0227,32.026536,25.201371,25.267871,25.359498,28.067894
7/1/2019 16:55:06.607,31.999343,31.954381,25.091648,24.555407,28.030621,31.980722,31.939908,28.019409,27.998445,28.030981,31.963118,31.980607,25.205682,25.281918,25.379643,28.070976
7/1/2019 17:00:08.930,31.993114,32.003031,25.091058,24.556555,27.983529,31.997785,31.981591,27.996674,27.983676,28.084614,31.967281,31.958889,25.212091,25.300702,25.383495,28.055683
7/1/2019 17:05:11.531,31.950202,32.029191,25.091419,24.562292,28.019655,32.006637,32.029339,27.996478,28.048045,28.06437,32.017701,31.998949,25.206125,25.322257,25.403902,28.023113
7/1/2019 17:10:10.400,31.976968,31.963724,25.08619,24.554899,28.062305,31.98205,32.018291,28.026211,28.068698,28.043619,32.009981,32.032027,25.207879,25.341254,25.344025,27.99969
7/1/2019 17:15:09.764,32.008046,31.94417,25.086501,24.551113,28.035718,32.015308,31.953414,28.007476,28.048864,28.009214,31.966298,31.990147,25.212812,25.358219,25.312652,27.988757
7/1/2019 17:20:08.475,31.983197,31.977575,25.091861,24.561439,27.99869,31.979919,31.941072,27.978152,28.01659,27.983873,31.988541,31.95825,25.215779,25.37825,25.299391,28.042685
7/1/2019 17:25:12.037,31.96202,32.026618,25.084305,24.56062,27.994101,31.987738,31.980804,28.032276,27.989626,28.037964,32.033043,31.994425,25.209403,25.393739,25.308013,28.070517
7/1/2019 17:30:07.946,31.990475,32.002834,25.088272,24.551588,28.046291,32.004326,32.027486,28.030653,28.003608,28.069484,31.997982,32.03224,25.20424,25.363825,25.314258,28.064665
7/1/2019 17:35:06.356,32.015242,31.947989,25.08837,24.555244,28.036538,31.974329,32.01675,28.001625,28.077877,28.047127,31.958692,31.978329,25.199191,25.26374,25.324634,28.037767
7/1/2019 17:40:10.662,31.959364,31.957791,25.090452,24.552326,28.000625,32.004932,31.942055,27.983529,28.075877,28.014754,31.994278,31.960479,25.220057,25.245087,25.336304,28.012705
7/1/2019 17:45:11.231,31.958561,32.000687,25.085223,24.553391,27.993757,32.003129,31.938465,28.026539,28.053503,27.987299,32.026257,31.994769,25.220926,25.252348,25.350401,27.989085
7/1/2019 17:50:09.253,31.981312,32.017439,25.083239,24.553342,28.046848,31.97151,31.984263,28.015869,28.024867,28.013738,31.983263,32.028503,25.22645,25.266199,25.365432,28.027146
7/1/2019 17:55:09.526,32.011587,31.956184,25.087091,24.55267,28.035669,32.016799,32.028503,27.980972,27.992626,28.072976,31.96297,31.984918,25.213648,25.282918,25.370234,28.072927
7/1/2019 18:00:07.426,31.965872,31.940072,25.083731,24.552965,27.995806,31.989573,32.008145,28.015213,28.000084,28.056404,32.003113,31.960495,25.211501,25.303325,25.38874,28.056191
7/1/2019 18:05:11.577,31.943088,31.981968,25.08578,24.552818,28.002231,31.988098,31.946792,28.030293,28.070517,28.029195,32.016701,31.996622,25.202158,25.312816,25.393461,28.036604
7/1/2019 18:10:06.946,31.976723,32.026568,25.081272,24.552129,28.046848,32.018045,31.957823,27.999297,28.077516,27.994232,31.970346,32.01757,25.201404,25.32865,25.396526,28.012476
7/1/2019 18:15:06.562,32.012554,32.001605,25.079896,24.550588,28.034505,31.976362,31.99431,27.98838,28.045635,27.988249,31.971051,31.9751,25.211222,25.353646,25.357941,27.982135
7/1/2019 18:20:10.238,31.978345,31.944776,25.084403,24.550654,27.995642,32.003195,32.033994,28.028621,28.021065,28.058846,32.03142,31.963528,25.210829,25.370038,25.286458,28.021392
7/1/2019 18:25:12.070,31.950021,31.968773,25.08219,24.551703,28.001493,32.008096,31.990721,28.016328,27.991495,28.065567,32.007833,32.008636,25.21455,25.387855,25.262249,28.08027
7/1/2019 18:30:09.126,31.983886,32.007768,25.081797,24.550097,28.050946,31.976837,31.938892,27.991232,27.994953,28.038423,31.962987,32.016012,25.20265,25.408557,25.259708,28.067337
7/1/2019 18:35:06.416,32.012964,32.028044,25.080535,24.541196,28.026785,32.000211,31.96379,28.00628,28.080204,28.010935,31.977837,31.961921,25.199027,25.258905,25.261888,28.055814
7/1/2019 18:40:08.143,31.946874,31.962233,25.082502,24.552834,27.988577,32.002424,32.012767,28.024228,28.084696,27.986561,32.03206,31.961643,25.214796,25.192028,25.271346,28.026425
7/1/2019 18:45:11.604,31.916976,31.910141,25.079387,24.550883,28.011492,31.982181,32.026568,27.997805,28.053536,28.053618,31.999687,32.016012,25.220926,25.223565,25.277886,28.003723
