,Frag_number,Genotype,Recovery_tank,Recovery_notes,Heat_stress_tank,ERL_tank_number,Tank_treatment,Disease_treatment?,D_touch_tank,D_treatment,Jar_allocation,sample_tubes,photos_initial,photo_number,photo_bw_hole,Initial_health,initial_notes,D_touch_tank,Jar_allocation,8aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,9aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,10aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,11aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,12aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,13aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,14aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,15aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,16aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,17aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Frag_number
119,64,CN4,3,ok,6,10,heat,disease,1,placebo_slurry,15,19,yes,29,30,healthy,,1,15,healthy,no,,,,,diseased,,,33,34,,15,diseased,,,97,98,,15,diseased,,,133,134,,15,diseased,yes,204,1,2,CHECK THIS EVENING,15,dead,,,3,4,removed,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,64
20,167,CN2,1,ok,4,8,ambient,disease,1,disease_slurry,16,"20,21",yes,31,32,healthy,,1,16,healthy,no,,,,,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,diseased,,,3,4,,16,diseased,,235,25,26,,167
142,9,ML2,4,ok,1,1,heat,disease,1,s_m_placebo,17,22,yes,33,34,healthy,,1,17,healthy,no,,,,,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,diseased,,234,23,24,,9
109,131,HS1,3,ok,8,12,heat,disease,1,disease_slurry,18,23,yes,35,36,healthy,,1,18,diseased,no-check_tomorrow,,5,6,,dead,,,5,6,,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,131
146,137,HS1,4,ok,4,8,ambient,disease,1,disease_slurry,19,24,yes,37,194,unhealthy,uneven in pic,1,19,diseased,no-check_tomorrow,,7,8,,diseased ,,,7,8,no-check_tomorrow,19,healthy ,,,99,100,,19,healthy ,,,,,,19,healthy ,,,,,,19,diseased,,,5,6,,19,diseased,,,3,4,,19,diseased,,,3,4,,19,diseased,,,5,6,,19,diseased,,236,27,28,,137
50,75,CN4,2,ok,10,15,heat,disease,1,s_marcscens,20,25,yes,195,196,healthy,,1,20,healthy,no,,,,,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,237,29,30,,75
62,113,CN2,2,ok,3,4,ambient,disease,1,disease_slurry,21,26,yes,197,198,healthy,,1,21,healthy,no,,,,,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,diseased,,,7,8,,21,diseased,,,5,6,,21,diseased,,,5,6,,21,diseased,,,7,8,,21,diseased,,"238,239",31,32,,113
27,87,CN2,1,ok,8,12,heat,disease,1,placebo_slurry,22,"27,28",yes,199,200,healthy,,1,22,healthy,no,,,,,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,240,33,34,,87
143,105,CN2,4,ok,4,8,ambient,disease,1,placebo_slurry,23,29,yes,201,202,healthy,,1,23,healthy,no,,,,,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,241,35,36,,105
66,17,ML2,2,ok,8,12,heat,disease,1,s_marcscens,24,30,yes,203,204,healthy,,1,24,healthy,no,,,,,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,242,37,38,,17
