,Frag_number,Genotype,Recovery_tank,Recovery_notes,Heat_stress_tank,ERL_tank_number,Tank_treatment,Disease_treatment?,D_touch_tank,D_treatment,Jar_allocation,sample_tubes,photos_initial,photo_number,photo_bw_hole,Initial_health,initial_notes,D_touch_tank,Jar_allocation,8aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,9aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,10aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,11aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,12aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,13aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,14aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,15aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,16aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,17aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Frag_number
159,120,CN2,4,ok,5,9,heat,disease,2,disease_slurry,17,69,yes,269,270,healthy,,2,17,healthy,no,,,,,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,diseased,,,25,26,,17,diseased,,,25,26,,17,diseased,,267,69,70,,120
68,30,ML2,2,ok,9,13,ambient,disease,2,s_m_placebo,18,70,yes,271,272,healthy,,2,18,healthy,no,,,,,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,268,,,,30
30,186,HS1,1,ok,7,11,ambient,disease,2,s_m_placebo,19,71,yes,273,274,healthy,,2,19,healthy,no,,,,,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,269,,,,186
114,125,HS1,3,ok,1,1,heat,disease,2,placebo_slurry,20,72,yes,275,276,healthy,,2,20,healthy,no,,,,,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,270,,,,125
164,89,CN2,4,ok,4,8,ambient,disease,2,placebo_slurry,21,73,yes,277,278,healthy,,2,21,healthy,no,,,,,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,271,,,,89
145,157,HS1,4,ok,3,4,ambient,disease,2,placebo_slurry,22,74,yes,279,280,healthy,,2,22,healthy ,no,,,,,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,272,,,,157
98,56,CN4,3,ok,5,9,heat,disease,2,s_marcscens,23,75,yes,281,282,healthy,,2,23,healthy,no,,,,,healthy ,,,,,,23,healthy ,,,,,,23,diseased,,,153,154,,23,diseased,,,13,14,,23,diseased,,,25,26,,23,diseased,,,27,28,,23,diseased,,,27,28,check this evening,23,diseased,yes,217,27,28,,23,dead,,,71,72,removed,56
150,182,CN4,4,ok,7,11,ambient,disease,2,s_m_placebo,24,76,yes,283,284,healthy,,2,24,healthy,no,,,,,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,273,,,,182
72,103,CN2,2,ok,7,11,ambient,disease,2,disease_slurry,25,77,yes,285,286,healthy,,2,25,healthy,no,,,,,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,274,,,,103
69,13,ML2,2,ok,2,3,ambient,disease,2,s_marcscens,26,78,yes,287,288,healthy,,2,26,healthy,no,,,,,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,275,,,,13
113,55,CN4,3,ok,4,8,ambient,disease,2,s_marcscens,27,79,yes,289,290,healthy,,2,27,healthy,no,,,,,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,276,,,,55
76,147,HS1,2,ok,1,1,heat,disease,2,disease_slurry,28,80,yes,291,292,healthy,,2,28,healthy,no,,,,,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,277,,,,147
56,164,CN2,2,ok,6,10,heat,disease,2,placebo_slurry,29,"81,82",yes,293,294,healthy,,2,29,healthy,no,,,,,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,278,,,,164
73,134,HS1,2,ok,7,11,ambient,disease,2,placebo_slurry,30,83,yes,295,296,healthy,off plug,2,30,healthy,no,,,,,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,279,,,,134
41,5,ML2,1,ok,8,12,heat,disease,2,disease_slurry,31,84,yes,297,298,healthy,,2,31,healthy,no,,,,,healthy ,,,,,,31,healthy ,,,,,,31,healthy ,,,,,,31,diseased,,,15,16,,31,diseased,,,27,28,,31,diseased,,,29,30,,31,diseased,,,29,30,check this evening,31,diseased,yes,218,29,30,check this evening,31,diseased,,280,73,74,removed,5
16,185,HS1,1,ok,6,10,heat,disease,2,placebo_slurry,32,85,yes,299,300,unhealthy,,2,32,diseased,YES,"189, 190",21,22,,dead,,,19,20,removed,32,dead,na,na,na,na,na,32,dead,na,na,na,na,na,32,dead,na,na,na,na,na,32,dead,na,na,na,na,na,32,dead,na,na,na,na,na,32,dead,na,na,na,na,na,32,dead,na,na,na,na,na,32,dead,na,na,na,na,na,185
42,11,ML2,1,ok,4,8,ambient,disease,2,disease_slurry,33,86,yes,301,302,healthy,,2,33,healthy,no,,,,,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,281,,,,11
52,29,ML2,2,ok,10,15,heat,disease,2,s_marcscens,34,87,yes,303,304,healthy,,2,34,healthy,no,,,,,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,281,,,,29
80,47,CN4,2,ok,6,10,heat,disease,2,placebo_slurry,35,88,yes,305,306,healthy,,2,35,healthy,no,,,,,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,283,,,,47
123,174,ML2,3,ok,6,10,heat,disease,2,s_m_placebo,36,89,yes,307,308,healthy,,2,36,healthy,no,,,,,diseased,,,45,46,,36,diseased,,,121,122,,36,healthy ,,,,,,36,healthy ,,,,,,36,healthy ,,,,,,36,healthy ,,,,,,36,healthy ,,,,,,36,healthy ,,,,,,36,healthy ,,284,,,,174
139,66,CN4,4,ok,9,13,ambient,disease,2,s_m_placebo,37,90,yes,309,310,healthy,,2,37,diseased ,no-check_tomorrow,,23,24,,diseased,,,21,22,no-check_tomorrow,37,diseased,,,119,120,,37,diseased,,,155,156,,37,diseased,,,17,18,,37,diseased,,,29,30,,37,diseased,,,31,32,,37,diseased,yes,211,31,32,check this evening,37,dead,,,31,32,removed,37,dead,na,na,na,na,na,66
48,32,ML2,2,ok,6,10,heat,disease,2,s_marcscens,38,91,yes,311,312,healthy,,2,38,healthy,no,,,,,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,285,,,,32
129,136,HS1,3,ok,2,3,ambient,disease,2,disease_slurry,39,92,yes,313,314,healthy,off plug,2,39,healthy,no,,,,,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,286,,,,136
134,128,HS1,4,ok,6,10,heat,disease,2,s_m_placebo,40,93,yes,315,316,healthy,,2,40,healthy,no,,,,,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,287,,,,128
85,77,CN4,2,ok,7,11,ambient,disease,3,placebo_slurry,1,94,yes,38,39,healthy,,3,1,healthy,no,,,,,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,288,,,,77
148,74,CN4,4,ok,1,1,heat,disease,3,placebo_slurry,2,95,yes,40,41,healthy,,3,2,healthy,no,,,,,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,289,,,,74
96,102,CN2,3,ok,3,4,ambient,disease,3,s_m_placebo,3,96,yes,42,43,healthy,,3,3,healthy,no,,,,,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,290,,,,102
60,18,ML2,2,ok,6,10,heat,disease,3,s_marcscens,4,97,yes,44,45,healthy,,3,4,healthy,no,,,,,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,291,,,,18
15,68,CN4,1,ok,5,9,heat,disease,3,disease_slurry,5,98,yes,46,47,healthy,,3,5,healthy,no,,,,,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,diseased,,,31,32,,5,diseased,,,33,34,,5,diseased,,,33,34,,5,diseased,,,33,34,,5,diseased,,"292,293",,,,68
116,7,ML2,3,ok,7,11,ambient,disease,3,s_marcscens,6,99,yes,48,49,healthy,,3,6,healthy,no,,,,,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,294,,,,7
151,158,HS1,4,ok,2,3,ambient,disease,3,s_marcscens,7,100,yes,50,51,healthy,,3,7,healthy,no,,,,,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,295,,,,158
43,54,CN4,1,ok,3,4,ambient,disease,3,s_marcscens,8,101,yes,52,53,healthy,,3,8,healthy,no,,,,,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,296,,,,54
92,38,ML2,3,ok,3,4,ambient,disease,3,placebo_slurry,9,102,yes,54,55,healthy,,3,9,healthy,no,,,,,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,297,,,,38
97,132,HS1,3,ok,4,8,ambient,disease,3,s_marcscens,10,103,yes,56,57,healthy,,3,10,healthy,no,,,,,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,298,,,,132
107,115,CN2,3,ok,10,15,heat,disease,3,s_marcscens,11,"104,105",yes,58,59,healthy,,3,11,healthy,no,,,,,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,299,,,,115
126,150,HS1,3,ok,3,4,ambient,disease,3,disease_slurry,12,106,yes,60,61,healthy,,3,12,healthy,no,,,,,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,diseased,,,19,20,,12,diseased,,,33,34,,12,diseased,,,35,36,,12,diseased,,,35,36,,12,diseased,,,35,36,,12,diseased,,"300,301",75,76,,150
105,72,CN4,3,ok,10,15,heat,disease,3,s_m_placebo,13,107,yes,62,63,healthy,,3,13,healthy,no,,,,,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,302,,,,72
61,160,HS1,2,ok,5,9,heat,disease,3,s_marcscens,14,108,yes,64,65,unhealthy,,3,14,dead,no-no_tissue,,25,26,removed,dead,n/a,n/a,n/a,n/a,n/a,14,dead,n/a,n/a,n/a,n/a,n/a,14,dead,n/a,n/a,n/a,n/a,n/a,14,dead,n/a,n/a,n/a,n/a,n/a,14,dead,na,na,na,na,na,14,dead,na,na,na,na,na,14,dead,na,na,na,na,na,14,dead,na,na,na,na,na,14,dead,na,na,na,na,na,160
25,176,CN4,1,ok,9,13,ambient,disease,3,s_m_placebo,15,"109,110",yes,66,67,healthy,,3,15,healthy,no,,,,,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,303,,,,176
11,104,CN2,1,ok,9,13,ambient,disease,3,placebo_slurry,16,111,yes,68,69,healthy,,3,16,healthy,no,,,,,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,304,,,,104
70,154,HS1,2,ok,10,15,heat,disease,3,disease_slurry,17,112,yes,70,71,healthy,,3,17,healthy,no,,,,,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,diseased,,,35,36,,17,diseased,,,37,38,,17,diseased,,,37,38,,17,diseased,,,37,38,,17,diseased,,"305,306",77,78,very fluoro,154
89,135,HS1,3,ok,5,9,heat,disease,3,disease_slurry,18,113,no,na,na,dead,dead_but_sampled_and_removed,3,18,dead,no,n/a,n/a,n/a,removed,dead,n/a,n/a,n/a,n/a,n/a,18,dead,n/a,n/a,n/a,n/a,n/a,18,dead,n/a,n/a,n/a,n/a,n/a,18,dead,n/a,n/a,n/a,n/a,n/a,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,18,dead,na,na,na,na,na,135
155,118,CN2,4,ok,8,12,heat,disease,3,s_m_placebo,19,114,yes,72,73,healthy,,3,19,healthy,no,,,,,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,307,,,,118
82,6,ML2,2,ok,4,8,ambient,disease,3,placebo_slurry,20,115,yes,74,75,healthy,,3,20,healthy,no,,,,,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,,,,,20,healthy ,,308,,,,6
101,79,CN4,3,ok,2,3,ambient,disease,3,disease_slurry,21,116,yes,76,77,healthy,,3,21,healthy,no,,,,,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,309,,,,79
81,116,CN2,2,ok,2,3,ambient,disease,3,placebo_slurry,22,117,yes,78,79,healthy,,3,22,healthy,no,,,,,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,310,,,,116
55,71,CN4,2,ok,5,9,heat,disease,3,s_m_placebo,23,118,yes,80,81,healthy,,3,23,healthy,no,,,,,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,311,,,,71
3,187,HS1,1,ok,4,8,ambient,disease,3,s_marcscens,24,119,yes,82,83,healthy,,3,24,diseased ,no-check_tomorrow,,27,28,,diseased,,,23,24,no-check_tomorrow,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,312,,,,187
152,148,HS1,4,ok,10,15,heat,disease,3,placebo_slurry,25,120,yes,84,85,healthy,,3,25,diseased ,no-check_tomorrow,,31,32,,diseased,,,25,26,no-check_tomorrow,25,diseased,,,123,124,,25,diseased,,,161,162,,25,diseased,,,27,28,,25,diseased,,,37,38,disease number side,25,diseased,,,39,40,disease number side,25,diseased,,,39,40,,25,diseased,,,39,40,,25,diseased,,313,79,80,,148
36,1,ML2,1,ok,8,12,heat,disease,3,disease_slurry,26,121,yes,86,87,healthy,,3,26,healthy,no,,,,,healthy ,,,,,,26,healthy ,,,,,,26,diseased,yes,202,159,160,,26,dead,,,25,26,removed,26,dead,na,na,na,na,na,26,dead,na,na,na,na,na,26,dead,na,na,na,na,na,26,dead,na,na,na,na,na,26,dead,na,na,na,na,na,1
115,59,CN4,3,ok,3,4,ambient,disease,3,s_marcscens,27,122,yes,88,89,healthy,,3,27,healthy,no,,,,,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,314,,,,59
94,93,CN2,3,ok,10,15,heat,disease,3,s_marcscens,28,123,yes,90,91,healthy,,3,28,healthy,no,,,,,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,diseased,,,21,22,,28,diseased,,,39,40,,28,healthy ,,,,,check photos,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,315,,,,93
88,106,CN2,3,ok,7,11,ambient,disease,3,s_marcscens,29,124,yes,92,93,healthy,,3,29,healthy,no,,,,,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,316,,,,106
18,37,ML2,1,ok,5,9,heat,disease,3,placebo_slurry,30,"125,126",yes,94,95,healthy,,3,30,healthy,no,,,,,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,317,,,,37
74,99,CN2,2,ok,1,1,heat,disease,3,s_marcscens,31,127,yes,96,97,healthy,,3,31,diseased,no-check_tomorrow,,29,30,,diseased,,,27,28,no-check_tomorrow,31,diseased,no-check_tomorrow,,121,122,,31,diseased,yes,201,157,158,,31,dead,,,23,24,removed,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,99
122,111,CN2,3,ok,9,13,ambient,disease,3,s_marcscens,32,128,yes,98,99,healthy,,3,32,healthy,no,,,,,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,318,,,,111
154,76,CN4,4,ok,8,12,heat,disease,3,disease_slurry,33,"129,130,131",yes,100,101,healthy,,3,33,healthy,no,,,,,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,319,,,,76
86,22,ML2,2,ok,9,13,ambient,disease,3,s_marcscens,34,132,yes,102,103,healthy,,3,34,healthy,no,,,,,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,320,,,,22
37,122,CN2,1,ok,1,1,heat,disease,3,disease_slurry,35,133,yes,104,105,healthy,,3,35,healthy,no,,,,,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,diseased,,,41,42,,35,diseased,,,41,42,,35,diseased,,,41,42,,35,diseased,,,41,42,,35,diseased,,321,81,82,,122
57,151,HS1,2,ok,10,15,heat,disease,3,s_m_placebo,36,134,yes,106,107,healthy,,3,36,healthy,no,,,,,diseased ,,,47,48,,36,dead,yes,199,125,126,removed,36,dead,na,na,na,na,na,36,dead,na,na,na,na,na,36,dead,na,na,na,na,na,36,dead,na,na,na,na,na,36,dead,na,na,na,na,na,36,dead,na,na,na,na,na,36,dead,na,na,na,na,na,151
163,21,ML2,4,ok,5,9,heat,disease,3,disease_slurry,37,135,yes,108,109,healthy,,3,37,healthy,no,,,,,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,diseased,,,43,44,,37,diseased,,,43,44,,37,diseased,,,43,44,,37,diseased,,,43,44,,37,diseased,,322,83,84,,21
77,33,ML2,2,ok,2,3,ambient,disease,3,disease_slurry,38,136,yes,110,111,healthy,,3,38,healthy,no,,,,,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,diseased,,,45,46,,38,diseased,,,45,46,,38,diseased,,,45,46,,38,diseased,,,45,46,,38,diseased,,323,85,86,,33
128,24,ML2,3,ok,1,1,heat,disease,3,s_m_placebo,39,"137,138",yes,112,113,healthy,,3,39,healthy,no,,,,,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,324,,,,24
87,126,HS1,3,ok,7,11,ambient,disease,3,s_m_placebo,40,"139,140",yes,114,115,healthy,split in two when sampling,3,40,healthy,no,,,,,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,325,,,,126
137,90,CN2,4,ok,9,13,ambient,disease,4,disease_slurry,1,141,yes,116,117,healthy,,4,1,healthy,no,,,,,diseased,YES,195,49,50,check_this_evening,1,diseased,,,,,,1,dead,,,,,removed,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,90
4,12,ML2,1,ok,1,1,heat,disease,4,s_marcscens,2,142,yes,118,119,healthy,,4,2,healthy,no,,,,,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,326,,,,12
172,16,ML2,4,ok,4,8,ambient,disease,4,s_marcscens,3,143,yes,120,121,healthy,,4,3,healthy,no,,,,,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,327,,,,16
24,94,CN2,1,ok,1,1,heat,disease,4,disease_slurry,4,"144,145",yes,122,123,healthy,,4,4,healthy,no,,,,,dead,YES,194,51,52,removed,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,94
9,63,CN4,1,ok,1,1,heat,disease,4,s_m_placebo,5,146,yes,124,125,healthy,,4,5,healthy,no,,,,,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,328,,,,63
53,42,CN4,2,ok,2,3,ambient,disease,4,disease_slurry,6,147,yes,126,127,healthy,,4,6,healthy,no,,,,,healthy ,,,,,,6,diseased,,,127,128,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,329,,forgot,forgot,42
141,146,HS1,4,ok,8,12,heat,disease,4,s_marcscens,7,148,yes,128,129,healthy,,4,7,diseased,no-check_tomorrow,,33,34,,diseased,,,29,30,no-check_tomorrow,7,healthy ,,,,,,7,healthy ,,,,,,7,diseased,,,29,30,,7,diseased,,,47,48,check this evening,7,diseased,,,47,48,check this evening,7,diseased,yes,213,47,48,check this evening,7,diseased,yes,219,47,48,check this evening,7,diseased,,"330,331",,,,146
67,69,CN4,2,ok,2,3,ambient,disease,4,s_marcscens,8,149,yes,130,131,healthy,,4,8,healthy,no,,,,,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,332,,,,69
162,73,CN4,4,ok,8,12,heat,disease,4,disease_slurry,9,150,yes,132,133,healthy,,4,9,healthy,no,,,,,healthy ,,,,,,9,diseased,,,129,130,,9,dead,no-tissue,,163,164,removed,9,dead,na,na,na,na,na,9,dead,na,na,na,na,na,9,dead,na,na,na,na,na,9,dead,na,na,na,na,na,9,dead,na,na,na,na,na,9,dead,na,na,na,na,na,73
95,28,ML2,3,ok,2,3,ambient,disease,4,s_m_placebo,10,151,yes,134,135,healthy,,4,10,healthy,no,,,,,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,333,,,,28
